,STARTER_NAME,AVERAGE_SPEED_furlongs_a_second,TRAINERS,SIRES,JOCKEYS
141,Blackberry Wine,0.08440631666180691,Joe Sharp,Oxbow,['Luis Saez']
474,My Father's Eyes,0.0844037260408514,Steven Asmussen,Forty Tales,"['Ricardo Santana, Jr.']"
156,Shoplifted,0.08439215229140354,Steven Asmussen,Into Mischief,"['Ricardo Santana, Jr.' 'Joel Rosario']"
331,Secondary Market,0.0843217718814998,Chad Brown,Into Mischief,['Javier Castellano']
432,Onward,0.08429807800382151,Christophe Clement,Street Sense,['Jose Ortiz']
224,Canarsie Angel,0.08428948244828802,Linda Dixon,Big Brown,['Kendrick Carmouche']
477,Sixth Street,0.08428214597667683,Mark Hennig,Tapit,['Luis Saez']
478,Kansas Kis,0.08428214597667683,Raymond Handal,Constitution,['Dylan Davis']
493,No Word,0.08426687816000793,Todd Pletcher,Silent Name (JPN),['Jose Ortiz']
107,Cat's Pajamas,0.08426256214363957,William Mott,Street Sense,['Junior Alvarado']
56,Blame the Cake,0.08425761392321691,Ian Wilkes,Blame,['Javier Castellano' 'Julien Leparoux']
319,Peruvian Boy,0.08425582661447126,"Ignacio Correas, IV",Tapiture,['Julien Leparoux']
433,Icecap,0.08425309630128908,Steven Asmussen,Carpe Diem,"['Ricardo Santana, Jr.']"
162,Acre,0.0842507068525334,William Mott,Blame,['Junior Alvarado']
157,Kowalski,0.08422523790579958,D. Lukas,Will Take Charge,['Joel Rosario' 'Manuel Franco']
214,Blues City,0.08422019753464512,Linda Rice,Frost Giant,['Jose Lezcano']
146,Speed Talks,0.08421620859628892,Gary Contessa,Afleet Express,['Kendrick Carmouche' 'Tyler Gaffalione']
311,Prince of Caps,0.08417390328418511,Michelle Nevin,Awesome Again,['Eric Cancel']
337,More Thunder,0.08415645288265047,Steve Klesaris,Goldencents,['Joel Rosario']
436,Highland Glory,0.08415029242226617,Barclay Tagg,Sky Mesa,['Junior Alvarado']
69,Ain't None Lucky,0.08412813686613632,Lacey Gaudet,Candy Ride (ARG),"['Johan Rosado' 'Irad Ortiz, Jr.']"
293,La Negrita,0.0841187981187426,Rudy Rodriguez,Fed Biz,['Manuel Franco']
96,Imperio D,0.08409785932721711,Rudy Rodriguez,Frost Giant,['Luis Reyes']
160,Always Misbehaving,0.08405712330394347,Danny Gargan,Into Mischief,"['Kendrick Carmouche' 'Irad Ortiz, Jr.']"
3,Love Me Tomorrow,0.0840537059423459,Wesley Ward,Mineshaft,['Dylan Davis']
35,Vaya Con Dios,0.08403113115067996,Eric Guillot,Majesticperfection,['Dylan Davis']
509,Alandra,0.08399328053755699,Claude McGaughey III,Blame,['Joel Rosario']
434,Moonshine Now,0.08398068444257821,Christophe Clement,Malibu Moon,['Joel Rosario']
383,Quantum Computing,0.08397074764500222,Chad Brown,Competitive Edge,['Javier Castellano']
190,Girlntheyellowtaxi,0.08396946564885496,Wesley Ward,Elusive Quality,"['Irad Ortiz, Jr.']"
338,Montana Man,0.08396816851474825,Dale Romans,Constitution,['Luis Saez' 'Kendrick Carmouche']
219,Feeling It,0.08395021194850619,D. Lukas,Majesticperfection,['Joel Rosario' 'Luis Reyes']
175,Cleon Jones,0.08394626734199515,Jeremiah Englehart,Tale of the Cat,"['Jorge Vargas, Jr.']"
249,Crystalle,0.08393825587118481,John Kimmel,Palace Malice,['Chris Landeros' 'Joel Rosario']
283,Stone Guitar,0.08391932750322792,Gary Contessa,Bustin Stones,['Kendrick Carmouche']
25,By Your Side,0.08390806313526906,Eddie Kenneally,Constitution,"['Irad Ortiz, Jr.']"
86,Jamflowman,0.08390285574810838,John Terranova II,Awesome of Course,['Dylan Davis']
348,Miraculousblessing,0.08389496350569088,Kelsey Danner,Rattlesnake Bridge,['Tyler Gaffalione']
144,Wedontbelieveher,0.08389438835898426,Anthony Quartarolo,Bayern,['Manuel Franco']
76,Violent Point,0.08386700801795602,Mark Casse,Violence,['John Velazquez']
161,Leading West,0.08386362742488065,Joe Sharp,Distorted Humor,['Manuel Franco']
332,Noudha,0.08386213065719958,Todd Pletcher,American Pharoah,['John Velazquez']
34,Hometown Pride,0.08384732744460431,Ian Wilkes,To Honor and Serve,['Chris Landeros']
205,Tulanian,0.08384025137661341,Thomas Amoss,Twirling Candy,"['Irad Ortiz, Jr.' 'Junior Alvarado']"
498,Aleph,0.08376612497905846,Gary Contessa,Alpha,['Kendrick Carmouche']
515,Maximiliano,0.0837342427379575,Wesley Ward,Quality Road,['Jose Ortiz']
387,Water White,0.08373159515129655,Rudy Rodriguez,Conveyance,"['Irad Ortiz, Jr.']"
9,Comical,0.08372871895060006,Doug O'Neill,Into Mischief,['Javier Castellano']
250,Sketches of Spain (IRE),0.08372322088155626,Chad Brown,Lope de Vega (IRE),"['Irad Ortiz, Jr.']"
117,Miss My Macho,0.08371581067278626,Katherine Ritvo,Mucho Macho Man,['Kendrick Carmouche' 'Rajiv Maragh']
163,Sonneman,0.08369614285950504,Mark Hennig,Curlin,['Jose Lezcano']
101,Tapizearance,0.08368996794686374,Gary Contessa,Tapizar,['Chris Landeros' 'Manuel Franco']
10,Kiss the Girl,0.08368317549756622,Todd Pletcher,Into Mischief,['John Velazquez']
371,Market Impact,0.08367200573750896,Chad Brown,Carpe Diem,['Javier Castellano']
388,Striking Beauty,0.08364862430185571,James Jerkens,Curlin,['Junior Alvarado']
322,Micheline,0.08364577490429939,Michael Stidham,Bernardini,['Jose Lezcano']
323,Slip Sliding Away,0.08364577490429939,James Toner,American Pharoah,['Joe Bravo']
176,Stanhope,0.08361087498780675,Claude McGaughey III,Street Sense,['Dylan Davis']
19,Pure Wow,0.08360496163229472,John Terranova II,The Factor,['Dylan Davis' 'Joel Rosario']
442,Bow Maker,0.08360187268194808,Linda Rice,Oxbow,['Jose Ortiz']
